Token    ST_pos
###   -1=-1
int   -1=-1
identifier   14=0
;   -1=-1
read   -1=-1
(   -1=-1
identifier   14=0
)   -1=-1
;   -1=-1
int   -1=-1
[   -1=-1
identifier   14=0
]   -1=-1
identifier   5=0
;   -1=-1
for   -1=-1
(   -1=-1
identifier   9=0
=   -1=-1
constant   0=0
;   -1=-1
identifier   9=0
<   -1=-1
identifier   14=0
;   -1=-1
identifier   9=0
=   -1=-1
identifier   9=0
+   -1=-1
constant   1=0
)   -1=-1
{   -1=-1
read   -1=-1
(   -1=-1
identifier   5=0
[   -1=-1
identifier   9=0
]   -1=-1
)   -1=-1
}   -1=-1
float   -1=-1
identifier   13=0
=   -1=-1
constant   0=0
;   -1=-1
int   -1=-1
identifier   1=1
=   -1=-1
constant   0=0
;   -1=-1
for   -1=-1
(   -1=-1
identifier   9=0
=   -1=-1
constant   0=0
;   -1=-1
identifier   9=0
<   -1=-1
identifier   14=0
-   -1=-1
constant   1=0
;   -1=-1
identifier   9=0
=   -1=-1
+   -1=-1
constant   1=0
)   -1=-1
{   -1=-1
if   -1=-1
(   -1=-1
identifier   5=0
[   -1=-1
identifier   9=0
]   -1=-1
%   -1=-1
==   -1=-1
constant   1=0
)   -1=-1
{   -1=-1
identifier   13=0
=   -1=-1
identifier   1=2
+   -1=-1
identifier   5=0
[   -1=-1
identifier   9=0
]   -1=-1
;   -1=-1
identifier   1=1
=   -1=-1
identifier   5=1
+   -1=-1
constant   1=0
;   -1=-1
}   -1=-1
}   -1=-1
float   -1=-1
identifier   10=0
;   -1=-1
if   -1=-1
(   -1=-1
identifier   5=1
)   -1=-1
{   -1=-1
identifier   6=0
=   -1=-1
identifier   1=2
/   -1=-1
identifier   5=1
;   -1=-1
}   -1=-1
###   -1=-1
